КБК;Расходы 2017 года;Исполнено в 2017 году;
ИТОГО;4959902400;4886228856;
172010816Д0192794862;125000000;122188622,1;
17204010410199999244;7200000;6428000;
17204010420199999244;7200000;6579000;
17204010430199999244;3375300;2939578;
172040116Д0164600811;5270000;5270000;
172040116Д0167400811;55000000;26950058,83;
172040116Д0167702811;42530000;42530000;
172040116Д0190019244;516197100;514616711,7;
172040116Д0190059611;10000000;10000000;
172040116Д0264610811;735400600;735400600;
172040116Д0690011121;83005000;83005000;
172040116Д0690011129;23543100;23448393,49;
172040116Д0690012121;159833800;159790522,4;
172040116Д0690012129;47854200;47559222,9;
172040116Д0690019122;38182000;35011161,44;
172040116Д0690019242;367638900;357540773,1;
172040116Д0690019243;356300;356299,06;
172040116Д0690019244;368061500;343485952;
172040116Д0690019831;160500;124800;
172040116Д0690019851;2822900;1794708,52;
172040116Д0690019852;52700;41685;
172040116Д0690019853;194400;177080,02;
172040116Д0693969122;40000;14405,85;
172041116Д0390019241;400000000;399996316,7;
17204112140099998241;1681155200;1681155200;
17204122140099998244;230840000;230840000;
17204129970060940812;19430000;19430000;
172070516Д0692040244;237000;232864,8;
17210030540535890322;29321900;29321900;
;;;
;;;
;;;
