"№ организации п/п","№ торгового объекта организации п/п","Полное наименование организации розничной торговли","Сокращеенное наименование лицензиата розничной торговли",ИНН,ОГРН,"Адрес организации розничной торговли","Адрес обособленного подразделения организации розничной торговли","КПП обособленного подразделения","Приказ Минпромторга России о включении организации розничной торговли в Перечень","Дата включения организации розничной торговли в Перечень"
1,1,"Общество с ограниченной ответственностью ""БОСКО Ривьера""","ООО ""БОСКО Ривьера""",2320155448,1072320016724,"Краснодарский край, г. Сочи, ул. Войкова, д. 1",,,"от 12.04.2018 №1389",17.04.2018
1,2,"Общество с ограниченной ответственностью ""БОСКО Ривьера""","ООО ""БОСКО Ривьера""",2320155448,1072320016724,,"Краснодарский край, г. Сочи, с. Эсто-Садок, наб. Времена года, д.1",231745009,"от 12.04.2018 №1389",17.04.2018
2,1,"Общество с ограниченной ответственностью ""Фурла Рус""","ООО ""Фурла Рус""",5027172101,1115027002782,,"г. Екатеринбург, ул. Вайнера, д. 9",667145001,"от 13.07.2018 №2754",
2,2,"Общество с ограниченной ответственностью ""Фурла Рус""","ООО ""Фурла Рус""",5027172101,1115027002782,,"г. Москва, Красная пл., д. 3",771045001,"от 13.07.2018 №2754",
3,1,"Общество с ограниченной ответственностью ""Джей. Чу РУС""","ООО ""Джей. Чу РУС""",5027195797,1125027019171,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 25.05.2018 №2007",28.05.2018
3,2,"Общество с ограниченной ответственностью ""Джей. Чу РУС""","ООО ""Джей. Чу РУС""",5027195797,1125027019171,,"г. Москва, Красная пл., д. 3",771045001,"от 25.05.2018 №2007",28.05.2018
4,1,"Закрытое акционерное общество ""Премиум Отель Менеджмент""",,5032178010,1075032015673,,"г. Москва, ул. Петровка, д. 2, строение 2",770745001,"от 25.04.2018 №1667",26.04.2018
4,2,"Закрытое акционерное общество ""Премиум Отель Менеджмент""",,5032178010,1075032015673,,"г. Санкт-Петербург, ул. Большая Конюшенная, д. 21-23, литер А",784145001,"от 25.04.2018 №1667",26.04.2018
5,1,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 06.04.2018 №1307",09.04.2018
5,2,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Москва, ул. Никольская, д. 19-21/1",770245003,"от 06.04.2018 №1307",09.04.2018
5,3,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Москва, ул. Петровка, д. 2, строение 2",770245004,"от 06.04.2018 №1307",09.04.2018
5,4,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Москва, Красная пл., д. 3",770245013,"от 06.04.2018 №1307",09.04.2018
5,5,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Санкт-Петербург, ул. Большая Конюшенная, д. 21-23, литер А",784145001,"от 06.04.2018 №1307",09.04.2018
6,1,"Общество с ограниченной ответственностью ""М Фэшн""","ООО ""М Фэшн""",5032277847,1145032002390,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445002,"от 06.04.2018 №1307",09.04.2018
6,2,"Общество с ограниченной ответственностью ""М Фэшн""","ООО ""М Фэшн""",5032277847,1145032002390,,"г. Москва, ул. Никольская, д. 19-21/1",770445002,"от 06.04.2018 №1307",09.04.2018
